4158 26844
383 2970 12
2970 383 12
2355 2896 86
2896 2355 86
784 2935 48
2935 784 48
584 2720 93
2720 584 93
1857 2283 27
2283 1857 27
2517 2701 93
2701 2517 93
1692 3671 8
3671 1692 8
2643 3122 56
3122 2643 56
981 2173 1
2173 981 1
1048 1485 82
1485 1048 82
1071 3919 73
3919 1071 73
1041 2192 84
2192 1041 84
823 2998 28
2998 823 28
2089 3500 8
3500 2089 8
345 2986 6
2986 345 6
1187 1997 95
1997 1187 95
1842 1886 13
1886 1842 13
451 4111 17
4111 451 17
1528 3408 53
3408 1528 53
463 2708 38
2708 463 38
332 3312 45
3312 332 45
1464 2824 41
2824 1464 41
470 2753 20
2753 470 20
1741 3016 92
3016 1741 92
462 1838 17
1838 462 17
2579 3033 59
3033 2579 59
2049 3091 15
3091 2049 15
67 3106 28
3106 67 28
446 2263 46
2263 446 46
3074 3743 74
3743 3074 74
1103 3283 53
3283 1103 53
1719 3503 89
3503 1719 89
2533 3448 88
3448 2533 88
1168 1172 81
1172 1168 81
2395 4006 96
4006 2395 96
5 2250 54
2250 5 54
1030 2369 52
2369 1030 52
3770 3936 31
3936 3770 31
3313 3356 4
3356 3313 4
806 2960 55
2960 806 55
782 2825 16
2825 782 16
2128 3260 37
3260 2128 37
1697 2480 16
2480 1697 16
2049 2348 84
2348 2049 84
2675 3761 11
3761 2675 11
747 3945 71
3945 747 71
2125 3989 37
3989 2125 37
157 3707 35
3707 157 35
2842 2968 7
2968 2842 7
433 3377 81
3377 433 81
339 1520 98
1520 339 98
1236 2999 48
2999 1236 48
529 2250 98
2250 529 98
594 1439 26
1439 594 26
2759 2984 6
2984 2759 6
2233 2970 62
2970 2233 62
3259 3261 15
3261 3259 15
1031 3134 88
3134 1031 88
350 3347 98
3347 350 98
665 3656 16
3656 665 16
126 795 70
795 126 70
629 645 13
645 629 13
763 2328 78
2328 763 78
169 1320 28
1320 169 28
1113 3897 1
3897 1113 1
118 165 12
165 118 12
885 3550 34
3550 885 34
611 3095 5
3095 611 5
1390 3673 80
3673 1390 80
562 3297 20
3297 562 20
3210 3673 100
3673 3210 100
278 3125 92
3125 278 92
381 925 85
925 381 85
1818 2934 85
2934 1818 85
925 2723 15
2723 925 15
1467 1966 48
1966 1467 48
2457 2607 35
2607 2457 35
1597 2515 11
2515 1597 11
559 1527 37
1527 559 37
595 2749 27
2749 595 27
778 1616 39
1616 778 39
1419 2276 30
2276 1419 30
1002 3074 69
3074 1002 69
1690 1762 93
1762 1690 93
261 359 43
359 261 43
1007 3638 12
3638 1007 12
2514 3407 2
3407 2514 2
582 3073 32
3073 582 32
1378 2188 63
2188 1378 63
2156 3348 1
