4158 13422
383 2970 12
2355 2896 86
784 2935 48
584 2720 93
1857 2283 27
2517 2701 93
1692 3671 8
2643 3122 56
981 2173 1
1048 1485 82
1071 3919 73
1041 2192 84
823 2998 28
2089 3500 8
345 2986 6
1187 1997 95
1842 1886 13
451 4111 17
1528 3408 53
463 2708 38
332 3312 45
1464 2824 41
470 2753 20
1741 3016 92
462 1838 17
2579 3033 59
2049 3091 15
67 3106 28
446 2263 46
3074 3743 74
1103 3283 53
1719 3503 89
2533 3448 88
1168 1172 81
2395 4006 96
5 2250 54
1030 2369 52
3770 3936 31
3313 3356 4
806 2960 55
782 2825 16
2128 3260 37
1697 2480 16
2049 2348 84
2675 3761 11
747 3945 71
2125 3989 37
157 3707 35
2842 2968 7
433 3377 81
339 1520 98
1236 2999 48
529 2250 98
594 1439 26
2759 2984 6
2233 2970 62
3259 3261 15
1031 3134 88
350 3347 98
665 3656 16
126 795 70
629 645 13
763 2328 78
169 1320 28
1113 3897 1
118 165 12
885 3550 34
611 3095 5
1390 3673 80
562 3297 20
3210 3673 100
278 3125 92
381 925 85
1818 2934 85
925 2723 15
1467 1966 48
2457 2607 35
1597 2515 11
559 1527 37
595 2749 27
778 1616 39
1419 2276 30
1002 3074 69
1690 1762 93
261 359 43
1007 3638 12
2514 3407 2
582 3073 32
1378 2188 63
2156 3348 1
909 2112 32
1629 3327 7
1890 3614 77
239 707 77
2926 4042 69
1024 2247 92
1292 3942 15
2095 2473 35
1512 2634 99
2378 2917 56
311 1535 85
866 3947 94
807 3072 90
66 472 19
205 1072 28
1298 3708 23
227 3609 39
2235 2861 71
227 2144 34
2098 3725 12
204 807 92
3962 4006 73
1128 2075 92
785 1780 44
1185 2217 73
932 3008 77
2369 2410 58
2083 3098 88
716 2183 56
623 1792 26
278 2979 10
2392 3764 89
547 3435 1
1172 2953 82
338 1160 47
1456 3529 78
444 1474 71
1489 3017 97
124 2140 73
262 3192 35
2522 3026 73
1313 2036 64
3550 3603 50
1400 1571 56
673 3206 14
1510 2810 29
3074 4011 30
2074 4121 100
1246 3765 80
447 2266 28
2149 3881 45
1001 3342 94
2344 3578 39
202 2709 64
2061 2917 29
1493 3630 42
296 3689 38
1268 2332 1
1631 2477 19
1002 2759 14
832 2168 97
2741 2897 69
1759 3487 57
1945 3378 70
1348 4129 30
2734 2992 67
1553 3074 50
2744 3707 32
412 2550 71
2626 3295 70
775 1078 100
1994 3733 24
626 2767 94
1295 1541 91
1194 3173 4
1187 3054 64
1050 3886 61
2238 3038 73
311 3168 46
430 1744 27
482 3546 73
2049 2476 60
1064 2276 25
1077 3423 27
2035 3302 68
1342 2371 58
1168 2204 25
47 782 100
1457 1869 89
1400 2392 13
866 1613 16
2192 2291 48
2626 2681 32
1454 2434 1
601 2365 85
3446 3705 60
813 2411 39
2069 3864 76
890 3767 78
198 2578 13
2369 2897 37
3117 3965 81
167 3763 97
588 1303 28
1997 3603 7
1615 3030 24
2583 2948 38
47 2610 76
1134 2613 24
31 1600 10
1623 2057 31
1266 3387 74
651 3320 70
1244 1387 92
739 2276 50
94 3644 11
2081 2903 11
617 1594 74
117 3714 14
407 3288 62
2700 3936 61
44 2918 19
293 2417 21
1040 2179 32
1524 3357 62
2519 2659 41
1192 2776 93
1622 2002 65
202 1453 12
1553 2759 95
412 3418 27
1958 2829 40
1230 2081 56
2410 2897 8
789 3498 74
471 941 47
770 4107 38
135 2866 56
2278 2575 42
838 919 50
383 2247 21
1221 3363 71
239 1014 96
1241 3388 16
2276 3206 7
2109 3307 47
85 557 53
227 253 87
464 2454 51
3488 3573 18
518 2782 1
2837 3603 47
1041 2783 31
572 1063 52
2320 3881 46
3916 3935 40
673 737 41
2270 3823 10
2254 4155 58
380 1099 12
1266 3613 16
3659 3915 33
3641 3685 65
73 1003 63
289 2837 37
2728 3683 28
1622 4107 50
851 1165 35
824 1122 67
428 2248 33
1439 2262 12
841 3891 67
