5241 28968
494 3763 34
3763 494 34
3004 3670 63
3670 3004 63
983 3722 96
3722 983 96
737 3446 78
3446 737 78
2373 2908 48
2908 2373 48
3201 3425 5
3425 3201 5
2158 4625 72
4625 2158 72
3355 3958 40
3958 3355 40
1242 2773 92
2773 1242 92
1331 1893 91
1893 1331 91
1360 4939 72
4939 1360 72
1324 2798 59
2798 1324 59
7 1602 100
1602 7 100
1029 3793 29
3793 1029 29
2665 4421 21
4421 2665 21
439 3780 18
3780 439 18
1497 2555 91
2555 1497 91
2355 2412 58
2412 2355 58
4143 4299 65
4299 4143 65
578 5182 61
5182 578 61
1943 4313 3
4313 1943 3
2169 2536 100
2536 2169 100
590 3433 100
3433 590 100
418 4183 18
4183 418 18
469 4965 93
4965 469 93
1869 3580 48
3580 1869 48
598 3493 68
3493 598 68
2219 3822 12
3822 2219 12
589 2350 58
2350 589 58
3276 3841 2
3841 3276 2
2617 3912 80
3912 2617 80
87 3938 92
3938 87 92
573 2886 74
2886 573 74
3891 4711 57
4711 3891 57
1400 4152 33
4152 1400 33
2191 4425 95
4425 2191 95
3219 4361 75
4361 3219 75
1473 1478 38
1478 1473 38
3054 5050 73
5050 3054 73
9 2866 50
2866 9 50
1308 3020 37
3020 1308 37
4745 4961 81
4961 4745 81
4184 4244 1
4244 4184 1
1008 3753 98
3753 1008 98
981 3581 37
3581 981 37
2713 4126 94
4126 2713 94
2165 3154 82
3154 2165 82
2617 2994 74
2994 2617 74
3392 4733 62
4733 3392 62
942 4974 9
4974 942 9
2708 5028 73
5028 2708 73
200 4673 90
4673 200 90
3601 3761 17
3761 3601 17
555 4267 93
4267 555 93
432 1929 34
1929 432 34
1569 3795 3
3795 1569 3
676 2866 27
2866 676 27
750 1838 45
1838 750 45
3500 3777 58
3777 3500 58
2845 3763 15
3763 2845 15
4125 4127 83
4127 4125 83
1309 3970 18
3970 1309 18
445 4232 88
4232 445 88
2051 3295 45
3295 2051 45
835 4604 2
4604 835 2
815 1956 66
1956 815 66
164 995 48
995 164 48
788 805 62
805 788 62
961 2966 62
2966 961 62
214 1673 24
1673 214 24
1410 4912 63
4912 1410 63
148 208 73
208 148 73
1113 4478 78
4478 1113 78
770 3920 59
3920 770 59
1775 4628 50
4628 1775 50
712 4166 43
4166 712 43
4061 4628 16
4628 4061 16
351 3961 67
3961 351 67
492 1170 91
1170 492 91
2324 3721 50
3721 2324 50
1170 3449 52
3449 1170 52
1873 2518 18
2518 1873 18
3128 3311 4
3311 3128 4
2028 3199 100
3199 2028 100
709 1941 25
1941 709 25
751 3489 43
3489 751 43
977 2059 39
2059 977 39
1813 2900 52
2900 1813 52
1270 3891 66
3891 1270 66
2155 2248 70
2248 2155 70
332 461 78
461 332 78
1275 4583 85
4583 1275 85
3197 4312 60
4312 3197 60
735 3890 64
3890 735 64
1754 2794 21
2794 1754 21
2744 4233 74
4233 2744 74
1149 2692 32
2692 1149 32
2076 4205 90
4205 2076 90
2418 4554 25
4554 2418 25
303 896 74
896 303 74
3710 5097 8
5097 3710 8
1298 2861 24
2861 1298 24
1638 4969 100
4969 1638 100
2672 3145 46
3145 2672 46
1921 3345 65
3345 1921 65
3031 3697 59
3697 3031 59
394 1951 30
1951 394 30
1089 4976 100
4976 1089 100
1009 3889 41
3889 1009 41
84 600 53
600 84 53
258 1361 84
1361 258 84
1648 4674 95
4674 1648 95
285 4548 100
4548 285 100
2847 3628 82
3628 2847 82
285 2732 28
2732 285 28
2675 4691 21
4691 2675 21
257 1009 69
1009 257 69
4994 5050 13
5050 4994 13
1428 2647 16
2647 1428 16
984 2272 77
2272 984 77
1494 2828 39
2828 1494 39
1179 3810 68
3810 1179 68
3020 3074 27
3074 3020 27
2659 3925 3
3925 2659 3
907 2787 45
2787 907 45
782 2287 70
2287 782 70
351 3772 54
3772 351 54
3050 4737 28
4737 3050 28
696 4345 90
4345 696 90
1478 3745 32
3745 1478 32
431 1464 98
1464 431 98
1859 4454 96
4454 1859 96
569 1882 82
1882 569 82
1897 3823 47
3823 1897 47
161 2728 16
2728 161 16
333 4042 86
4042 333 86
3206 3832 79
3832 3206 79
1664 2602 67
2602 1664 67
4478 4541 64
4541 4478 64
1792 1997 50
1997 1792 50
845 4057 13
4057 845 13
1919 3564 26
3564 1919 26
3891 5055 5
5055 3891 5
2646 5195 90
5195 2646 90
1580 4740 9
4740 1580 9
574 2889 56
2889 574 56
2737 4891 43
4891 2737 43
1269 4225 13
4225 1269 13
2985 4516 56
4516 2985 56
255 3434 32
3434 255 32
2630 3697 28
3697 2630 28
1902 4574 69
4574 1902 69
371 4647 49
4647 371 49
1609 2970 18
2970 1609 18
2558 3928 23
3928 2558 23
620 3937 98
3937 620 98
2080 3151 96
3151 2080 96
1270 3500 19
3500 1270 19
1042 2763 22
2763 1042 22
3476 3674 63
3674 3476 63
300 4653 50
4653 300 50
2242 4407 70
4407 2242 70
2492 4268 57
4268 2492 57
1714 5206 85
5206 1714 85
3467 3787 5
3787 3467 5
1974 3891 90
3891 1974 90
3479 4673 39
4673 3479 39
527 3237 15
3237 527 15
3336 4164 53
4164 3336 53
974 1369 16
1369 974 16
2552 4699 44
4699 2552 44
785 3511 71
3511 785 71
1643 1959 85
1959 1643 85
1504 4021 30
4021 1504 30
1497 3866 78
3866 1497 78
1333 4896 4
4896 1333 4
2851 3847 29
3847 2851 29
394 4014 1
4014 394 1
551 2223 21
2223 551 21
317 2352 60
2352 317 60
612 4473 62
4473 612 62
2617 3150 26
3150 2617 26
1352 2900 61
2900 1352 61
1368 4332 1
4332 1368 1
2601 4171 87
4171 2601 87
1704 3022 47
3022 1704 47
1473 2812 16
2812 1473 16
62 981 48
981 62 48
1860 2391 56
2391 1860 56
1792 3050 51
3050 1792 51
1089 2053 9
2053 1089 9
2798 2916 59
2916 2798 59
3336 3399 48
3399 3336 48
1857 3101 33
3101 1857 33
1155 2167 93
2167 1155 93
758 3015 2
3015 758 2
4359 4671 85
4671 4359 85
1018 3075 82
3075 1018 82
2640 4867 28
4867 2640 28
1787 4995 61
4995 1787 61
1121 4742 14
4742 1121 14
248 3275 12
3275 248 12
3020 3674 27
3674 3020 27
3953 4998 58
4998 3953 58
212 4735 16
4735 212 16
744 1653 14
1653 744 14
2555 4541 51
4541 2555 51
2058 3837 76
3837 2058 76
3280 3739 92
3739 3280 92
253 2871 99
2871 253 99
62 3316 43
3316 62 43
1435 3320 74
3320 1435 74
2264 4117 22
4117 2264 22
43 2032 26
2032 43 26
2069 2625 13
2625 2069 13
1605 4281 81
4281 1605 81
814 4193 64
4193 814 64
1578 1768 23
1768 1578 23
934 2900 3
2900 934 3
120 4591 16
4591 120 16
2655 3682 48
3682 2655 48
776 2025 30
2025 776 30
147 4680 66
4680 147 66
1299 2684 46
2684 1299 46
521 4157 69
4157 521 69
3424 4961 30
4961 3424 30
59 3698 44
3698 59 44
367 3083 37
3083 367 37
1323 2781 39
2781 1323 39
1934 4245 68
4245 1934 68
3203 3373 83
3373 3203 83
1502 3522 85
3522 1502 85
2067 2562 80
2562 2067 80
255 1856 6
1856 255 6
1974 3500 43
3500 1974 43
527 4323 77
4323 527 77
2529 5010 18
5010 2529 18
2510 3587 38
3587 2510 38
1562 2655 6
2655 1562 6
3074 3674 1
3674 3074 1
989 4419 31
4419 989 31
599 1192 82
1192 599 82
969 5178 14
5178 969 14
173 3634 90
3634 173 90
2902 3272 35
3272 2902 35
1051 1164 18
1164 1051 18
494 2861 100
2861 494 100
1546 4251 42
4251 1546 42
303 1283 53
1283 303 53
2002 4511 98
4511 2002 98
1575 4282 68
4282 1575 68
2900 4057 18
4057 2900 18
2689 4177 17
4177 2689 17
111 707 9
707 111 9
285 321 41
321 285 41
591 3124 78
3124 591 78
4408 4509 50
4509 4408 50
662 3529 64
3529 662 64
3595 4541 91
4541 3595 91
1324 3530 3
3530 1324 3
724 1351 60
1351 724 60
2954 4891 70
4891 2954 70
4935 4959 37
4959 4935 37
845 932 88
932 845 88
2893 4814 70
4814 2893 70
2870 5238 65
5238 2870 65
491 1396 2
1396 491 2
1605 4552 88
4552 1605 88
330 3887 58
3887 330 58
4607 4934 44
4934 4607 44
4586 4643 46
4643 4586 46
94 1271 70
1271 94 70
363 3595 17
3595 363 17
3456 4641 82
4641 3456 82
2067 5178 52
5178 2067 52
1066 1470 85
1470 1066 85
1030 1420 19
1420 1030 19
548 2862 91
2862 548 91
1838 2883 38
2883 1838 38
1054 4903 74
4903 1054 74
4180 5082 23
5082 4180 23
237 682 90
682 237 90
895 2059 97
2059 895 97
1387 1986 8
1986 1387 8
493 3506 34
3506 493 34
634 3802 37
3802 634 37
1149 3518 74
3518 1149 74
721 2867 39
2867 721 39
695 1071 1
1071 695 1
281 4797 9
4797 281 9
418 1880 67
1880 418 67
1187 1403 97
1403 1187 97
2616 2971 52
2971 2616 52
712 2242 35
2242 712 35
1036 4121 22
4121 1036 22
381 1909 13
1909 381 13
1314 4710 53
4710 1314 53
830 1522 53
1522 830 53
2399 2574 76
2574 2399 76
600 2672 73
2672 600 73
1283 3074 80
3074 1283 80
548 3128 13
3128 548 13
1975 2533 35
2533 1975 35
63 3336 14
3336 63 14
222 1684 59
1684 222 59
340 622 63
622 340 63
433 2640 52
2640 433 52
1683 5191 69
5191 1683 69
412 4245 86
4245 412 86
1800 4137 78
4137 1800 78
2486 4977 24
4977 2486 24
725 3604 92
3604 725 92
409 2576 20
2576 409 20
587 1965 51
1965 587 51
569 752 72
752 569 72
1162 4613 92
4613 1162 92
2461 5236 52
5236 2461 52
599 2692 82
2692 599 82
2143 2243 13
2243 2143 13
1435 3465 39
3465 1435 39
659 3371 85
3371 659 85
4800 4932 93
4932 4800 93
1438 1874 85
1874 1438 85
195 1824 2
1824 195 2
967 2531 53
2531 967 53
4532 5050 91
5050 4532 91
676 2552 89
2552 676 89
2677 3433 97
3433 2677 97
701 1451 47
1451 701 47
431 4240 90
4240 431 90
2250 3509 52
3509 2250 52
2137 2322 70
2322 2137 70
59 2490 8
2490 59 8
949 2819 91
2819 949 91
1881 4250 10
4250 1881 10
1655 3128 30
3128 1655 30
2267 4191 73
4191 2267 73
868 4369 30
4369 868 30
1548 4963 8
4963 1548 8
633 4405 57
4405 633 57
2552 3777 70
3777 2552 70
895 1331 21
1331 895 21
2031 2786 72
2786 2031 72
124 2602 27
2602 124 27
1253 1353 93
1353 1253 93
574 2084 71
2084 574 71
4074 4550 93
4550 4074 93
1974 3401 60
3401 1974 60
394 895 78
895 394 78
3526 4912 59
4912 3526 59
2368 2420 97
2420 2368 97
800 2923 40
2923 800 40
304 3176 65
3176 304 65
2650 3046 81
3046 2650 81
1616 3068 1
3068 1616 1
1907 4191 13
4191 1907 13
285 866 6
866 285 6
2090 3906 41
3906 2090 41
662 4934 49
4934 662 49
3346 4040 55
4040 3346 55
508 1492 61
1492 508 61
563 1145 67
1145 563 67
4666 4792 59
4792 4666 59
1605 3770 94
3770 1605 94
598 2564 75
2564 598 75
2667 4909 79
4909 2667 79
2905 4598 70
4598 2905 70
1974 4980 3
4980 1974 3
1476 5056 57
5056 1476 57
4220 5029 62
5029 4220 62
94 1574 21
1574 94 21
133 2408 8
2408 133 8
2601 4745 45
4745 2601 45
676 934 83
934 676 83
9 4680 88
4680 9 88
896 2646 7
2646 896 7
314 1563 54
1563 314 54
3167 3667 65
3667 3167 65
845 2866 66
2866 845 66
4319 4729 31
4729 4319 31
363 4582 96
4582 363 96
1290 2996 71
2996 1290 71
269 1398 54
1398 269 54
992 1916 73
1916 992 73
2725 3368 80
3368 2725 80
2071 2230 60
2230 2071 60
129 3552 32
3552 129 32
1400 2488 45
2488 1400 45
1244 2640 93
2640 1244 93
1089 4243 39
4243 1089 39
2528 2832 61
2832 2528 61
424 3803 44
3803 424 44
404 4893 54
4893 404 54
1283 3674 80
3674 1283 80
2675 3398 40
3398 2675 40
1415 2823 5
2823 1415 5
2186 2571 22
2571 2186 22
1327 3706 88
3706 1327 88
949 2552 52
2552 949 52
2082 4347 90
4347 2082 90
682 5055 26
5055 682 26
901 4220 20
4220 901 20
3219 4491 85
4491 3219 85
204 3965 78
3965 204 78
261 3425 65
3425 261 65
2333 3844 20
3844 2333 20
114 2630 93
2630 114 93
1297 4954 74
4954 1297 74
95 2757 63
2757 95 63
744 3549 46
