5241 14484
494 3763 34
3004 3670 63
983 3722 96
737 3446 78
2373 2908 48
3201 3425 5
2158 4625 72
3355 3958 40
1242 2773 92
1331 1893 91
1360 4939 72
1324 2798 59
7 1602 100
1029 3793 29
2665 4421 21
439 3780 18
1497 2555 91
2355 2412 58
4143 4299 65
578 5182 61
1943 4313 3
2169 2536 100
590 3433 100
418 4183 18
469 4965 93
1869 3580 48
598 3493 68
2219 3822 12
589 2350 58
3276 3841 2
2617 3912 80
87 3938 92
573 2886 74
3891 4711 57
1400 4152 33
2191 4425 95
3219 4361 75
1473 1478 38
3054 5050 73
9 2866 50
1308 3020 37
4745 4961 81
4184 4244 1
1008 3753 98
981 3581 37
2713 4126 94
2165 3154 82
2617 2994 74
3392 4733 62
942 4974 9
2708 5028 73
200 4673 90
3601 3761 17
555 4267 93
432 1929 34
1569 3795 3
676 2866 27
750 1838 45
3500 3777 58
2845 3763 15
4125 4127 83
1309 3970 18
445 4232 88
2051 3295 45
835 4604 2
815 1956 66
164 995 48
788 805 62
961 2966 62
214 1673 24
1410 4912 63
148 208 73
1113 4478 78
770 3920 59
1775 4628 50
712 4166 43
4061 4628 16
351 3961 67
492 1170 91
2324 3721 50
1170 3449 52
1873 2518 18
3128 3311 4
2028 3199 100
709 1941 25
751 3489 43
977 2059 39
1813 2900 52
1270 3891 66
2155 2248 70
332 461 78
1275 4583 85
3197 4312 60
735 3890 64
1754 2794 21
2744 4233 74
1149 2692 32
2076 4205 90
2418 4554 25
303 896 74
3710 5097 8
1298 2861 24
1638 4969 100
2672 3145 46
1921 3345 65
3031 3697 59
394 1951 30
1089 4976 100
1009 3889 41
84 600 53
258 1361 84
1648 4674 95
285 4548 100
2847 3628 82
285 2732 28
2675 4691 21
257 1009 69
4994 5050 13
1428 2647 16
984 2272 77
1494 2828 39
1179 3810 68
3020 3074 27
2659 3925 3
907 2787 45
782 2287 70
351 3772 54
3050 4737 28
696 4345 90
1478 3745 32
431 1464 98
1859 4454 96
569 1882 82
1897 3823 47
161 2728 16
333 4042 86
3206 3832 79
1664 2602 67
4478 4541 64
1792 1997 50
845 4057 13
1919 3564 26
3891 5055 5
2646 5195 90
1580 4740 9
574 2889 56
2737 4891 43
1269 4225 13
2985 4516 56
255 3434 32
2630 3697 28
1902 4574 69
371 4647 49
1609 2970 18
2558 3928 23
620 3937 98
2080 3151 96
1270 3500 19
1042 2763 22
3476 3674 63
300 4653 50
2242 4407 70
2492 4268 57
1714 5206 85
3467 3787 5
1974 3891 90
3479 4673 39
527 3237 15
3336 4164 53
974 1369 16
2552 4699 44
785 3511 71
1643 1959 85
1504 4021 30
1497 3866 78
1333 4896 4
2851 3847 29
394 4014 1
551 2223 21
317 2352 60
612 4473 62
2617 3150 26
1352 2900 61
1368 4332 1
2601 4171 87
1704 3022 47
1473 2812 16
62 981 48
1860 2391 56
1792 3050 51
1089 2053 9
2798 2916 59
3336 3399 48
1857 3101 33
1155 2167 93
758 3015 2
4359 4671 85
1018 3075 82
2640 4867 28
1787 4995 61
1121 4742 14
248 3275 12
3020 3674 27
3953 4998 58
212 4735 16
744 1653 14
2555 4541 51
2058 3837 76
3280 3739 92
253 2871 99
62 3316 43
1435 3320 74
2264 4117 22
43 2032 26
2069 2625 13
1605 4281 81
814 4193 64
1578 1768 23
934 2900 3
120 4591 16
2655 3682 48
776 2025 30
147 4680 66
1299 2684 46
521 4157 69
3424 4961 30
59 3698 44
367 3083 37
1323 2781 39
1934 4245 68
3203 3373 83
1502 3522 85
2067 2562 80
255 1856 6
1974 3500 43
527 4323 77
2529 5010 18
2510 3587 38
1562 2655 6
3074 3674 1
989 4419 31
599 1192 82
969 5178 14
173 3634 90
2902 3272 35
1051 1164 18
494 2861 100
1546 4251 42
303 1283 53
2002 4511 98
1575 4282 68
2900 4057 18
2689 4177 17
111 707 9
285 321 41
591 3124 78
4408 4509 50
662 3529 64
3595 4541 91
1324 3530 3
724 1351 60
2954 4891 70
4935 4959 37
845 932 88
2893 4814 70
2870 5238 65
491 1396 2
1605 4552 88
330 3887 58
4607 4934 44
4586 4643 46
94 1271 70
363 3595 17
3456 4641 82
2067 5178 52
1066 1470 85
1030 1420 19
548 2862 91
1838 2883 38
1054 4903 74
4180 5082 23
237 682 90
895 2059 97
1387 1986 8
493 3506 34
634 3802 37
1149 3518 74
721 2867 39
695 1071 1
281 4797 9
418 1880 67
1187 1403 97
2616 2971 52
712 2242 35
1036 4121 22
381 1909 13
1314 4710 53
830 1522 53
2399 2574 76
600 2672 73
1283 3074 80
548 3128 13
1975 2533 35
63 3336 14
222 1684 59
340 622 63
433 2640 52
1683 5191 69
412 4245 86
1800 4137 78
2486 4977 24
725 3604 92
409 2576 20
587 1965 51
569 752 72
1162 4613 92
2461 5236 52
599 2692 82
2143 2243 13
1435 3465 39
659 3371 85
4800 4932 93
1438 1874 85
195 1824 2
967 2531 53
4532 5050 91
676 2552 89
2677 3433 97
701 1451 47
431 4240 90
2250 3509 52
2137 2322 70
59 2490 8
949 2819 91
1881 4250 10
1655 3128 30
2267 4191 73
868 4369 30
1548 4963 8
633 4405 57
2552 3777 70
895 1331 21
2031 2786 72
124 2602 27
1253 1353 93
574 2084 71
4074 4550 93
1974 3401 60
394 895 78
3526 4912 59
2368 2420 97
800 2923 40
304 3176 65
2650 3046 81
1616 3068 1
1907 4191 13
285 866 6
2090 3906 41
662 4934 49
3346 4040 55
508 1492 61
563 1145 67
4666 4792 59
1605 3770 94
598 2564 75
2667 4909 79
2905 4598 70
1974 4980 3
1476 5056 57
4220 5029 62
94 1574 21
133 2408 8
2601 4745 45
676 934 83
9 4680 88
896 2646 7
314 1563 54
3167 3667 65
845 2866 66
4319 4729 31
363 4582 96
1290 2996 71
269 1398 54
992 1916 73
2725 3368 80
2071 2230 60
129 3552 32
1400 2488 45
1244 2640 93
1089 4243 39
2528 2832 61
424 3803 44
404 4893 54
1283 3674 80
2675 3398 40
1415 2823 5
2186 2571 22
1327 3706 88
949 2552 52
2082 4347 90
682 5055 26
901 4220 20
3219 4491 85
204 3965 78
261 3425 65
2333 3844 20
114 2630 93
1297 4954 74
95 2757 63
744 3549 46
211 3934 68
990 3228 15
1021 4891 47
1465 4269 37
129 2116 20
237 2672 20
1947 4493 87
237 600 96
887 1291 93
2866 4407 14
3263 3969 75
2021 2754 18
299 406 20
147 4232 50
3626 3631 82
357 5176 8
1689 3773 49
1019 2541 35
2728 4825 42
1626 4694 53
1178 4834 45
710 1518 65
316 2303 96
809 1172 52
158 1504 15
3891 5148 86
1207 2725 91
1991 3116 42
1331 3833 71
6 4947 34
4281 4680 20
1959 4968 34
2118 2660 27
857 1949 49
771 4055 85
548 2464 25
1934 2812 7
633 2879 15
1562 3506 73
558 3891 94
3659 4104 46
367 4245 91
2023 2913 83
2541 3264 8
2783 4259 25
1494 1799 46
4240 5005 74
